"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2022","1.1634","1.1587","1.1681","1.1566","225.03K","0.41%"
"12/08/2022","1.1586","1.1611","1.1624","1.1564","262.73K","-0.21%"
"12/07/2022","1.1610","1.1592","1.1632","1.1566","280.18K","0.16%"
"12/06/2022","1.1591","1.1622","1.1663","1.1580","238.33K","-0.21%"
"12/05/2022","1.1615","1.1638","1.1675","1.1579","254.76K","-0.34%"
"12/02/2022","1.1655","1.1645","1.1692","1.1581","229.49K","0.22%"
"12/01/2022","1.1629","1.1586","1.1704","1.1567","279.93K","0.41%"
"11/30/2022","1.1582","1.1571","1.1603","1.1542","281.65K","0.10%"
"11/29/2022","1.1570","1.1567","1.1621","1.1554","207.28K","0.09%"
"11/28/2022","1.1560","1.1650","1.1651","1.1524","205.87K","-0.59%"
"11/25/2022","1.1629","1.1636","1.1662","1.1604","181.63K","-0.03%"
"11/24/2022","1.1633","1.1593","1.1668","1.1579","215.40K","0.36%"
"11/23/2022","1.1591","1.1533","1.1648","1.1491","204.38K","0.53%"
"11/22/2022","1.1530","1.1545","1.1588","1.1516","217.17K","-0.07%"
"11/21/2022","1.1538","1.1516","1.1552","1.1494","226.46K","0.24%"
"11/18/2022","1.1510","1.1449","1.1525","1.1440","253.61K","0.57%"
"11/17/2022","1.1445","1.1463","1.1503","1.1395","253.96K","-0.08%"
"11/16/2022","1.1454","1.1466","1.1479","1.1393","266.59K","-0.02%"
"11/15/2022","1.1456","1.1384","1.1485","1.1353","277.50K","0.69%"
"11/14/2022","1.1378","1.1418","1.1460","1.1331","257.10K","-0.44%"
"11/11/2022","1.1428","1.1476","1.1494","1.1386","285.20K","-0.38%"
"11/10/2022","1.1472","1.1344","1.1561","1.1337","294.16K","1.18%"
"11/09/2022","1.1338","1.1458","1.1477","1.1324","273.27K","-0.97%"
"11/08/2022","1.1449","1.1489","1.1508","1.1434","254.89K","-0.31%"
"11/07/2022","1.1485","1.1347","1.1509","1.1345","246.15K","0.60%"
"11/04/2022","1.1416","1.1453","1.1499","1.1379","242.49K","-0.25%"
"11/03/2022","1.1445","1.1602","1.1619","1.1435","216.15K","-1.31%"
"11/02/2022","1.1597","1.1631","1.1651","1.1581","207.38K","-0.27%"
"11/01/2022","1.1628","1.1608","1.1635","1.1590","202.13K","0.24%"
"10/31/2022","1.1600","1.1649","1.1668","1.1589","209.06K","-0.41%"
"10/28/2022","1.1648","1.1608","1.1668","1.1554","218.93K","0.39%"
"10/27/2022","1.1603","1.1537","1.1618","1.1508","282.52K","0.60%"
"10/26/2022","1.1534","1.1515","1.1569","1.1490","240.55K","0.26%"
"10/25/2022","1.1504","1.1424","1.1545","1.1412","219.01K","0.76%"
"10/24/2022","1.1417","1.1517","1.1552","1.1408","256.81K","-0.36%"
"10/21/2022","1.1458","1.1481","1.1493","1.1383","244.40K","-0.24%"
"10/20/2022","1.1486","1.1484","1.1533","1.1416","275.79K","0.12%"
"10/19/2022","1.1472","1.1487","1.1523","1.1451","252.82K","-0.09%"
"10/18/2022","1.1482","1.1542","1.1588","1.1450","279.88K","-0.52%"
"10/17/2022","1.1542","1.1497","1.1660","1.1497","248.23K","0.47%"
"10/14/2022","1.1488","1.1589","1.1616","1.1466","300.49K","-0.84%"
"10/13/2022","1.1585","1.1442","1.1619","1.1403","257.14K","1.36%"
"10/12/2022","1.1430","1.1301","1.1458","1.1275","272.78K","1.20%"
"10/11/2022","1.1294","1.1396","1.1466","1.1284","299.16K","-0.86%"
"10/10/2022","1.1392","1.1376","1.1437","1.1342","279.26K","0.16%"
"10/07/2022","1.1374","1.1401","1.1486","1.1351","234.10K","-0.18%"
"10/06/2022","1.1394","1.1462","1.1473","1.1338","264.94K","-0.57%"
"10/05/2022","1.1459","1.1491","1.1508","1.1391","263.21K","-0.25%"
"10/04/2022","1.1488","1.1523","1.1564","1.1433","248.31K","-0.25%"
"10/03/2022","1.1517","1.1387","1.1536","1.1320","269.63K","1.17%"
"09/30/2022","1.1384","1.1324","1.1428","1.1296","263.09K","0.56%"
"09/29/2022","1.1321","1.1186","1.1341","1.1133","267.23K","1.24%"
"09/28/2022","1.1182","1.1187","1.1298","1.1026","293.07K","-0.01%"
"09/27/2022","1.1183","1.1121","1.1243","1.1101","289.99K","0.59%"
